,Term,Spotify_SFA,Spotify_Creator Promotion,Scribd,QDT,Zignal,WGU,Afterpay,Lumen,Kin + Carta,HashiCorp,Talentify,Trellance,Upgrade,Sprouts,Pngme,Posh,SigFig,GGWP,NExTNet,Dashworks,Alectio,TOTALS
0,Python,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,19
1,ML,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,13
2,collaborative,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,12
3,statistics,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,10
4,presentation,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,10
5,team,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,10
6,passion,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,10
7,with: non-technical,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,10
8,communication,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,10
9,SQL,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,9
10,computer science,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,8
11,DS,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,8
12,mathematics,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,8
13,implementation,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,8
14,modeling,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,8
15,data: pipelines,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,7
16,Tableau,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,7
17,data: engineering,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,7
18,data: mining,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,7
19,product: development,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,7
20,data analysis,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,7
21,quantitative,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,7
22,engineering,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,7
23,communication: written,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,7
24,impact,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,7
25,design experiments,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,7
26,TensorFlow,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,7
27,Spark,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,6
28,R,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,6
29,leadership,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,6
30,data: visualization,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,6
31,analytical,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,6
32,innovative,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,6
33,BI,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,6
34,learner,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,6
35,2+ years DS,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,6
36,AI,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,6
37,insight,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,6
38,research,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5
39,DL,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5
40,classification,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,5
41,predictive analytics,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5
42,degree,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,5
43,data-driven-decision-making,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
44,storytelling,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5
45,PyTorch,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,5
46,NLP,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5
47,data: integrity,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5
48,Bachelor's,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5
49,diversity,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,5
50,inclusive,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,5
51,driven,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,5
52,communication: oral,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4
53,data: unstructured,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4
54,creative,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4
55,dashboards,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4
56,Big Data,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4
57,AWS,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4
58,end-to-end,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4
59,data: feature extraction,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4
60,stakeholders,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4
61,committed,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4
62,helpful,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4
63,PhD,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,4
64,culture,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,4
65,with: technical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,4
66,data: cleaning,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4
67,Software Engineering,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3
68,EDA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
69,forecasting,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
70,explain,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
71,clustering,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
72,Hadoop,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
73,Hive,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
74,Scala,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
75,accessibility,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
76,dynamic,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3
77,cross-discipline,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
78,Git,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
79,economics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
80,detail-oriented,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3
81,curiosity,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3
82,cloud,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3
83,scikit-learn,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3
84,customer: churn,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
85,masterâ€™s,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
86,integration,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
87,regression,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3
88,naive bayes,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3
89,data: architecture,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3
90,algorithms,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3
91,NumPy,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3
92,data: prep,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3
93,fintech,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3
94,data: structured,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3
95,MS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3
96,customer: success,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3
97,fast-paced,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3
98,databases,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3
99,graphs,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
100,evaluation,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3
101,conferences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3
102,product: deployment,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
103,computer vision,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
104,educate,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
105,computational linguistics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
106,3+ years DS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
107,perspectives,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
108,background,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
109,mentorship,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110,relationships ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
111,automation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
112,decision trees,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
113,S3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
114,problem-solving,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
115,Databricks,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
116,5+ years DS,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
117,data: datasets,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
118,community,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
119,multivariate analysis,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
120,SAS,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
121,adoption,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
122,meaningful,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
123,Support,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
124,data: complex,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
125,partnerships,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
126,pattern-recognition,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
127,monitoring,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
128,uncertainty,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
129,revenue optimization,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
130,libraries,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
131,D3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
132,optimization,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
133,REST APIs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
134,fun,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
135,CSS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
136,consulting,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
137,talented,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
138,Pandas,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
139,finance,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
140,ensemble methods,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
141,hands-on,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
142,querying,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
143,communicate: technical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
144,methodical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
145,Java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
146,error analysis,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
147,ad-hoc,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
148,Random Forest,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
149,development,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
150,certification,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
151,growth,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
152,ML: ops,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
153,building,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
154,labeling,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
155,organized,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
156,conversation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
157,scientific community,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
158,positive attitude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
159,product: recommendation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
160,information retrieval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
161,owner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
162,core values,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
163,customer-centric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
164,reports,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
165,business logic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
166,Think Big,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
167,NLP: conversational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
168,propose improvements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
169,maker,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
170,deployment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
171,intuitive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
172,empower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
173,customer: services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
174,disrupt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
175,segmentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
176,DynamoDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
177,models: eval,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
178,interested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
179,testing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
180,cross-functional,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
181,comfortable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
182,Keras,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
183,frequentist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,intentional,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185,full-stack,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186,data: multi-modal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
187,data: meta,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
188,BigQuery,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
189,metrics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,diverse experience,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
191,forward-thinking,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192,rigor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
193,coach,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194,reading,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,Cassandra,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
196,optimized signal aggregation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
197,opportunistic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
198,trading strategy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
199,focused,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,specialization,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
201,resourceful,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
202,Plotly,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
203,NLP: extracted text,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
204,8+ years Q,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
205,named entity recognition,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
206,transparent,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
207,data: algorithms,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
208,NLP: emotion analysis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
209,NLP: parsing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210,NLP: shallow parsing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,SageMaker,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
212,nice,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
213,ground tuth,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
214,Elasticsearch,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
215,model: eval,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
216,PythonSpark,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217,Neo4j,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
218,media,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
219,NLP: sentiment analysis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
220,constituency,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
221,dependency,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
222,learning analytics,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
223,charts,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
224,nights/weekends,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
225,interpersonal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
226, data: educational,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
227,data: transformation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
228,multi-task,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
229,identify,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230,learning science,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
231,performance metrics,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
232,better future,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
233,Bi-lingual,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
234,data: availability,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
235,student-focused,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
236,psychology,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
237,tables,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
238,business value,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
239,5+ years: IT consult,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
240,high technical bar,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
241,support growth,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
242,product: features,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
243,business performance,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
244,responsible,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
245,Looker,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
246,A/ B testing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
247,Snowflake,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
248,Sumo Logic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
249, business strategy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
250,troubleshooting,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
251,pragmatic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
252,fair,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
253,datamarts,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
254,Amplitude,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
255,scaling,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
256,operations,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
